Image,NetworkStyle,NetworkCyto,DownloadFile,Nodes,Edges,nodeDescription,edgeDescription,DatabaseName,DatabaseVersion,DatabaseFilters,Query,datasetEntryType,datasetNumEntries,edgeFormationMethodTool,EdgeFormationDescription,visualizationTool,Disease,Species,sampleTissueType,networkType,networkDescription,nodeLegendSize,nodeLegendColour,edgeLegendThickness,edgeLegendColour,notes/remarks,Curated
Common genes expressed in actin filaments and other subcellular locations.png,,Gene-locations.Actin filaments/actin filaments.cyjs,NetworkFile/Gene-locations.Actin filaments/actin filament.csv,15,14,Common genes that are expressed in Actin filaments and subcellular locations,location-location,Human Protein Atlas,"Human Protein Atlas: 21.1, SIGNOR 3.0:21.1, CyTargetLinker: 02/08/2022",,,,,List2Net,location-location interactions,Cytoscape,Genes that are expressed in various subcellular locations,,,protein,Associations between genes that are associated with an unfavorable prognosis in Glioblastoma Multiforme,,,,,,
Glioma genes drugs.png,Glioma drugs/glioma style.json,Glioma drugs/Glioma genes-drugs.cyjs,NetworkFile/Glioma drugs/Glioma genes-drugs default  edge.csv,116,125,Unfavorable prognostic genes in Glioblastoma Multiforme,gene-gene interaction,Human Protein Atlas,21.1,none,,Gene,116,STRING db,protein-protein associations,Cytoscape,Glioblastoma Multiforme,Homo Sapiens (human),,"disease, drugs",Interactions between genes that are associated with an unfavorable prognosis in Glioblastoma Multiforme and between drugs and these genes,,"Genes: Gray, Drugs: Pink",,,,
Glioma 2.png,,Glioma/Glioma 2.cyjs,NetworkFile/Glioma/Glioma default edge 2.csv,326,538,Unfavorable prognostic genes in Glioblastoma Multiforme and Drugs associated with these genes,"gene-gene interaction, gene-drug interaction","Human Protein Atlas, Drugbank","Human Protein Atlas: 21.1, SIGNOR 3.0:21.1, CyTargetLinker: 02/08/2022","SIGNOR 3.0: homo sapiens, connect, add link proteins, CyTargetLinker: direction:BOTH",,"Genes, Drugs",326,"SIGNOR 3.0, CyTargetLinker","gene-gene interactions, drug interactions",Cytoscape,Glioblastoma Multiforme,,,protein,Associations between genes that are associated with an unfavorable prognosis in Head and Neck cancers,,,,,,
Head and Neck.png,Head and Neck drugs/Head_Neck styles.json,Head & Neck/Head and Neck.cyjs,NetworkFile/Head & Neck/Head and Neck default edge.csv,292,1060,Unfavorable prognostic genes in Head and Neck cancers,gene-gene interaction,Human Protein Atlas,21.1,none,,Gene,292,STRING db,protein-protein associations,Cytoscape,Head and Neck Cancers,Homo Sapiens (human),,"disease, drugs",Interactions between genes that are associated with an unfavorable prognosis in Head and Neck cancers and between drugs and these genes,,"Genes: Gray, Drugs: Pink",,,"Head and neck cancers, as referenced in the Human Protein Atlas",
Head and Neck gene_drugs.png,Hormone_Related_Cancers_pathways/Hormone_Related_Cancers_pathways_styles.json,Head and Neck drugs/Head and Neck gene_drugs.cyjs,NetworkFile/Head and Neck drugs/Head and Neck gene_drugs default  edge.csv,898,1961,Unfavorable prognostic genes in Head and Neck cancers and Drugs associated with these genes,"gene-gene interaction, gene-drug interaction","Human Protein Atlas, Drugbank","Human Protein Atlas: 21.1, SIGNOR 3.0:21.1, CyTargetLinker: 02/08/2022","SIGNOR 3.0: homo sapiens, connect, add link proteins, CyTargetLinker: direction:BOTH",,"Genes, Drugs",898,"SIGNOR 3.0, CyTargetLinker","gene-gene interactions, drug interactions",Cytoscape,Head and Neck Cancers,Homo Sapiens (human),,protein,"Common proteins found in Hormone Related Cancers (Breast, Ovarian, Prostate, Testicular, Thyroid, Osteosarcoma)",,,,,,
Hormone_Related_Cancers_pathways.png,,Hormone_Related_Cancers_pathways/Hormone_Related_Cancers_pathways.cyjs,NetworkFile/Hormone_Related_Cancers_pathways/Hormone_Related_Cancers_pathways_edge.csv,34,335,"Common Proteins associated with Hormone Related Cancers (Breast, Ovarian, Prostate, Testicular, Thyroid, Osteosarcoma)",protein - protein interaction,UniprotKB,2022_04,none ,"Breast, Ovarian, Prostate, Testicular, Thyroid, Osteosarcoma",Proteins,200/Disease,STRING db,protein - protein interaction,Cytoscape,"Hormone Related Cancers (Breast, Ovarian, Prostate, Testicular, Thyroid, Osteosarcoma)",Homo Sapiens (human),,Proteins,Human protein-protein associations,,,,,,
protein-protein interactions.png,,Human protein-protein interaction/protein-protein.cyjs,NetworkFile/Human protein-protein interaction/protein - protein.csv,74,220,Human protein-protein interactions,protein-protein,,,,,,,,protein-protein interactions,Cytoscape,Human P-P,Homo Sapiens (human),,protein,"Common proteins found in Huntington, Parkinson, Multiple Sclerosis",,,,,,
Huntington_Parkinson_Multiple sclerosis_pathways.png,Huntington_Parkinson_Multiple sclerosis-pp/Huntington_Parkinson_Multiple sclerosis-pp_styles.json,Huntington_Parkinson_Multiple sclerosis_pathways/Huntington_Parkinson_Multiple sclerosis_pathways.cyjs,NetworkFile/Huntington_Parkinson_Multiple sclerosis_pathways/Huntington_Parkinson_Multiple sclerosis_pathways_edge.csv,37,225,"Common Proteins associated with Huntington, Parkinson and Multiple Sclerosis",protein - protein interaction,UniprotKB,2022_04,none,"Huntington Parkinson, Multiple Sclerosis",Genes,200/Disease,STRING db,protein - protein interaction,Cytoscape,"Huntington Parkinson, Multiple Sclerosis",Homo Sapiens (human),,Reactome Pathways,Common Reactome Pathways based on proteins that associated with Huntington Parkinson and Multiple Sclerosis,,"Huntington: RED, Parkinson: BLUE, Multiple Sclerosis: PURPLE",,,,
Huntington_Parkinson_Multiple sclerosis-pp.png,Huntington_Parkinson_Multiple sclerosis/Huntington_Parkinson_Multiple sclerosis_styles.json,Huntington_Parkinson_Multiple sclerosis-pp/Huntington_Parkinson_Multiple sclerosis-pp.cyjs,NetworkFile/Huntington_Parkinson_Multiple sclerosis-pp/Huntington_Parkinson_Multiple sclerosis-pp_edge.csv,364,1724,"Common Reactome Pathways associated withHuntington, Parkinson and Multiple sclerosis",Reactome-Pathways - functional interactions,Reactome,version 81,none,"Huntington Parkinson, Multiple Sclerosis",Proteins,200/Disease,STRING db,pathways functional interactions,Cytoscape,"Huntington Parkinson, Multiple Sclerosis",Homo Sapiens (human),,GO-BIological Process,Common biological processes based on proteins that associated with Huntington-Parkinson-Multiple sclerosis,,,,,,
Huntington_Parkinson_Multiple sclerosis.png,,Huntington_Parkinson_Multiple sclerosis/Huntington_Parkinson_Multiple sclerosis.cyjs,NetworkFile/Huntington_Parkinson_Multiple sclerosis/Huntington_Parkinson_Multiple sclerosis_edge.csv,398,1812,"Common GO-Biological Processes associated with Huntington, Parkinson, Multiple sclerosis",GO-Biological Processes - functional interactions,UniprotKB,2022_04,none,"Huntington, Parkinson, Multiple sclerosis",Proteins,200/Disease,STRING,protein-protein associations,Cytoscape,Huntington-Parkinson-Multiple sclerosis,Homo Sapiens (human),,protein,Common proteins found in Huntington and Parkinson disease,,,,,,
Huntington_Parkinson.png,Huntington_Parkinson/Huntington_Parkinson_styles.json,Huntington_Parkinson/Huntington_Parkinson.cyjs,NetworkFile/Huntington_Parkinson/Huntington_Parkinson_edge.csv,126,587,Common Proteins associated with Huntington and Parkinson disease,protein - protein interaction,UniprotKB,2022_04,none,"Huntington, Parkinson",Genes,200/Disease,STRING db,protein - protein interaction,Cytoscape,"Huntington, Parkinson",Homo Sapiens (human),,disease,"Common proteins found in different disease pathways, categorized by disease type (Viral, batherial, parasitic)",degree,"Viral diseases: Red, Bactrerial: Blue, Parasitic: Green",weight,weight,"Proteins accosiated with disease were extracted from each pathway uder the human disease tab in KEGG Pathways. A KGML file was download for each disease pathway, and the entries, proteins, were exctracted with an R script.",
Infectious_diseases_net.png,Infectious Diseases/Infectious_diseases_net_styles.json,Infectious Diseases/Infectious_diseases_net.cyjs,NetworkFile/Infectious Diseases/Infectious_diseases_net_edge.csv,29,410,"Three categories of infectious diseases, Viral (red), Bacterial (blue), Parasitic (green)",Common proteins extracted from disease pathway,KEGG Pathways,13/06/2022,none,,Disease,29,List2Net,common proitein names,Cytoscape,Infectious diseases,Homo Sapiens (human),,Genes,Union of male and female infertility,,,,,,
infertility.png,Male and female infertility/styles.json,Male and female infertility/male and female infertility.cyjs,NetworkFile/Male and female infertility/infertility default edge.csv,493,4198,Genes associated with male and female infertility,gene-gene,disgenet,7,none ,"Male Infertility, Female infertility",genes,493,STRING,Gene-gene interactions,Cytoscape,Infertility,,,protein,Associations between genes that are associated with an unfavorable prognosis in Liver cancer,,,,,,
Liver.png,,Liver/Liver.cyjs,NetworkFile/Liver/Liver default edge.csv,2587,60902,Unfavorable prognostic genes in Liver cancer,gene-gene interaction,Human Protein Atlas,21.1,none,,Gene,2587,STRING db,protein-protein associations,Cytoscape,Liver cancer,Homo Sapiens (human),,disease ,Associations between different liver diseases,,,,,,
liver.png,,liver1/liver.cyjs,NetworkFile/liver1/liver.csv,17,95,Liver diseases,disease-disease interaction,disgenet,,none ,,,17,R,disease-disease associations,,liver disease,,,protein,Associations between genes that are associated with an unfavorable prognosis in Lung cancer,,,,,,
Lung drugs.png,Lung drugs/Lung styles.json,Lung drugs/Lung drugs.cyjs,NetworkFile/Lung drugs/Lung drugs default  edge.csv,301,1991,Unfavorable prognostic genes in Lung cancer,gene-gene interaction,Human Protein Atlas,21.1,none,,Gene,301,STRING db,protein-protein associations,Cytoscape,Lung Cancer,Homo Sapiens (human),,"disease, drugs",Interactions between genes that are associated with an unfavorable prognosis in Lung cancer and between drugs and these genes,,"Genes: Gray, Drugs: Pink",,,,
Lung.png,,Lung/Lung.cyjs,NetworkFile/Lung/Lung default edge.csv,1179,3481,Unfavorable prognostic genes in Lung cancer and Drugs associated with these genes,"gene-gene interaction, gene-drug interaction","Human Protein Atlas, Drugbank","Human Protein Atlas: 21.1, SIGNOR 3.0:21.1, CyTargetLinker: 02/08/2022","SIGNOR 3.0: homo sapiens, connect, add link proteins, CyTargetLinker: direction:BOTH",,"Genes, Drugs",1179,"SIGNOR 3.0, CyTargetLinker","gene-gene interactions, drug interactions",Cytoscape,Lung cancer,,,protein,Associations between genes that are associated with an unfavorable prognosis in Melanoma,,,,,,
Melanoma.png,,Melanoma/Melanoma.cyjs,NetworkFile/Melanoma/Melanoma default edge.csv,106,424,Unfavorable prognostic genes in Melanoma,gene-gene interaction,Human Protein Atlas,21.1,none,,Gene,106,STRING db,protein-protein associations,Cytoscape,Melanoma,Homo Sapiens (human),,disease,Associations between various mental diseases,,,,,,
Mental diseases.png,Side effects for different disease classes/side effect styles.json,Mental diseases/Mental Diseases.cyjs,NetworkFile/Mental diseases/Mental diseases.csv,15,77,Mental diseases,disease-disease interaction,disgenet,7,none,,Gene,15,R,disease-disease associations,Cytoscape,Mental diseases,Homo Sapiens (human),,"diseases, drugs","Gene-gene interactions between genes of Mitochondrial Diseases, Mitochondrial Myopathies, Mitochondrial Encephalomyopathies and Chronic Progressive External Ophthalmoplegia, diseases highly associated due to common symptomatology and genes/PPIs, according to HSDN, and gene- drug interactions.","The more diseases the genes have been associated with, the larger the size of the gene nodes","Chronic Progressive External Ophthalmoplegia: Yellow, Mitochondrial Diseases: Green, Mitochondrial Myopathies: Blue, Mitochondrial Encephalomyopathies: Red, Nodes associated with two or more of these diseases: Beige, Drugs: Pink",,,,
disease-side effect.png,,Side effects for different disease classes/disease-side effect.cyjs,NetworkFile/Side effects for different disease classes/disease-side effect default edge.csv,594,561,side effects (diseases) ,disease-disease interaction,Disease Ontology,2015 update,,,Diseases ,594,List2Net,disease-disease associations,Cytoscape,Mix of diseases,Homo Sapiens (human),,Diseases ,Classification of side effects (diseases) into disease classes based on their etiology and the affected organ systems,,,,,,
function-function.png,,function-function/function-function.cyjs,NetworkFile/function-function/funciton-function.csv,29,46,Common Molecular function of genes that are associated with MS,Molecular functions-Molecular functions,Human Protein Atlas,"Human Protein Atlas: 21.1, SIGNOR 3.0:21.1, CyTargetLinker: 02/08/2022",,,,,R,Molecular Functions - interactions,Cytoscape,Multiple Sclerosis,Homo Sapiens (human),,Molecular Functions,Common Molecular Functions of genes that are associated with MS,,,,,,
genes-genes MS.png,,Multiple Sclerosis/Gene-gene MS.cyjs,NetworkFile/Multiple Sclerosis/Gene-Gene MS.csv,35,123,Genes (associated with MS) that have common molecular function,gene-gene interaction,Human Protein Atlas,"Human Protein Atlas: 21.1, SIGNOR 3.0:21.1, CyTargetLinker: 02/08/2022",,,Genes,,R,Gene-gene interactions,Cytoscape,Multiple Sclerosis,Homo Sapiens (human),,Genes,Genes (associated with MS) that have common Molecular function,,,,,,
myeloma.png,Myeloma/myeloma styles.json,Myeloma/myeloma.cyjs,NetworkFile/Myeloma/myeloma default edge.csv,53,255,Genes accosiated with Myeloma,gene-gene interaction,disgenet,7,none,Myeloma,Gene,53,STRING,protein-protein associations,Cytoscape,Myeloma,Homo Sapiens (human),,protein,Associations between genes that are related with Myeloma,,,,,,
nervous system diseases.png,,Nervous system diseases/nervous system.cyjs,NetworkFile/Nervous system diseases/nervous system default edge.csv,11,55,Nervous system diseases,disease-disease interaction,disgenet,7,none,"Alzheimer's disease, Amyotrophic Lateral Sclerosis, Carpal Tunnel Syndrome, Cerebral Palsy, Epilepsy, Facial paralysis, Huntington Disease, Motor Neuron Disease, Multiple Sclerosis, Neurofibromatosis, Parkinson Disease",Gene,11,List2Net,disease-disease associations,Cytoscape,Nervous system diseases,Homo Sapiens (human),,disease,Associations between various types of diseases of the nervous system,,,,,,
Neurodegenerative diseases.png,,Neurodegenerative diseases/Neurodegenerative diseases.cyjs,NetworkFile/Neurodegenerative diseases/neurodegenerative diseases.csv,22,55,Neurodegenerative diseases,disease-disease interaction,disgenet,7,none,,Gene,22,R,disease-disease associations,Cytoscape,Neurodegenerative diseases,Homo Sapiens (human),,disease,Associations between the various neurodegenerative diseases,,,,,,
Ovarian.png,,Ovarian/Ovarian.cyjs,NetworkFile/Ovarian/Ovarian default edge.csv,93,87,Unfavorable prognostic genes in Ovarian cancer,gene-gene interaction,Human Protein Atlas,21.1,none,,Gene,93,STRING db,protein-protein associations,Cytoscape,Ovarian cancer,,,protein,Associations between genes that are associated with an unfavorable prognosis in Ovarian cancer,,,,,,
Pancreatic.png,,Pancreatic/Pancreatic.cyjs,NetworkFile/Pancreatic/Pancreatic default edge.csv,628,5466,Unfavorable prognostic genes in Pancreatic cancer,gene-gene interaction,Human Protein Atlas,21.1,none,,Gene,628,STRING db,protein-protein associations,Cytoscape,Pancreatic cancer,,,protein,Associations between genes that are associated with an unfavorable prognosis in Pancreatic cancer,,,,,,
Parkinson_Multiple sclerosis.png,Parkinson_Multiple sclerosis/Parkinson_Multiple sclerosis_style.json,Parkinson_Multiple sclerosis/Parkinson_Multiple sclerosis.cyjs,NetworkFile/Parkinson_Multiple sclerosis/Parkinson_Multiple sclerosis_edge.csv,46,331,Common Proteins associated with Parkinson and Multiple Sclerosis,protein - protein interaction,UniprotKB,2022_04,none ,"Parkinson, Multiple Sclerosis",Genes,200/Disease,STRING db,protein - protein interaction,Cytoscape,Parkinson and Multiple Sclerosis,Homo Sapiens (human),,protein,"Common proteins found in Parkinson, Multiple Sclerosis",,,,,,
Prostate_Testicular_GO-Molecular Functions.png,Prostate_Testicular_GO-Molecular Functions/Prostate_Testicular_GO-Molecular Functions_styles.json,Prostate_Testicular_GO-Molecular Functions/Prostate_Testicular_GO-Molecular Functions.cyjs,NetworkFile/Prostate_Testicular_GO-Molecular Functions/Prostate_Testicular_GO-Molecular Functions_edge.csv,271,2036,Common GO-Molecular Functions associated with Prostate and Testicular cancer,GO-Molecular Functions - functional interactions,UniprotKB,2022_04,none ,"Prostate, Testicular Cancer",Proteins,200/Disease,STRING db,Molecular Functions - interactions,Cytoscape,Prostate and Testicular Cancer,Homo Sapiens (human),,Molecular Functions,Common Molecular Functions based on proteins that ascociated with Prostate and Testicular Cancer,,,,,,
Prostate_Testicular.png,Prostate_Testicular/Prostate_Testicular_style.json,Prostate_Testicular/Prostate_Testicular.cyjs,NetworkFile/Prostate_Testicular/Prostate_Testicular_edge.csv,62,589,Common Proteins associated with Prostate and Testicular cancer,protein - protein interaction,UniprotKB,2022_04,none ,"Prostate, Testicular Cancer",Genes,200/Disease,STRING db,protein - protein interaction,Cytoscape,Prostate and Testicular Cancer,Homo Sapiens (human),,protein,Common Proteins found in Prostate and Testicular Cancer,,,,,,
Prostate gene drugs.png,Prostate drugs/Prostate styles.json,Prostate drugs/Prostate gene drugs.cyjs,NetworkFile/Prostate drugs/Prostate gene drugs default  edge.csv,85,161,Unfavorable prognostic genes in Prostate cancer,gene-gene interaction,Human Protein Atlas,21.1,none,,Gene,85,STRING db,protein-protein associations,Cytoscape,Prostate Cancer,,,protein,Associations between genes that are associated with an unfavorable prognosis in Prostate cancer,,,,,,
Prostate.png,,Prostate/Prostate.cyjs,NetworkFile/Prostate/Prostate default edge.csv,471,1111,Unfavorable prognostic genes in Prostate cancer and Drugs associated with these genes,"gene-gene interaction, gene-drug interaction","Human Protein Atlas, Drugbank","Human Protein Atlas: 21.1, SIGNOR 3.0:21.1, CyTargetLinker: 02/08/2022","SIGNOR 3.0: homo sapiens, connect, add link proteins, CyTargetLinker: direction:BOTH",,"Genes, Drugs",471,"SIGNOR 3.0, CyTargetLinker","gene-gene interactions, drug interactions",Cytoscape,Prostate Cancer,Homo Sapiens (human),,"disease, drugs",Interactions between genes that are associated with an unfavorable prognosis in Prostate cancer and between drugs and these genes,,"Genes: Gray, Drugs: Pink",,,,
Renal.png,,Renal/Renal.cyjs,NetworkFile/Renal/Renal default edge.csv,3162,57550,Unfavorable prognostic genes in Renal cancer,gene-gene interaction,Human Protein Atlas,21.1,none,,Gene,3162,STRING db,protein-protein associations,Cytoscape,Renal cancer,,,protein,Associations between genes that are associated with an unfavorable prognosis in Renal cancer,,,,,,
Urogenital.png,,Renal system and Urogenital diseases/Urogenital.cyjs,NetworkFile/Renal system and Urogenital diseases/Urogenital.Renal diseases.csv,16,23,Renal system and Urogenital diseases,disease-disease interaction,disgenet,7,none,,Gene,16,R,disease-disease associations,Cytoscape,Renal system and Urogenital diseases,Homo Sapiens (human),,disease,Associations between various renal system diseases,,,,,,
respiratory system.png,Respiratory system diseases/respiratory system styles.json,Respiratory system diseases/respiratory system.cyjs,NetworkFile/Respiratory system diseases/respiratory system default edge.csv,11,52,Respiratory system diseases,disease-disease interaction,disgenet,7,none,"Acute bronchitis, Asthma, Bronchiectasis, Chronic Obstructive Airway Disease, Cystic Fibrosis, Pleural effusion disorder, Pneumonoconiosis, Pulmonary Edema, Pulmonary Embolism, Tuberculosis",Gene,11,List2Net,disease-disease associations,Cytoscape,Respiratory system diseases,Homo Sapiens (human),,disease,Associations between various types of diseases of the respiratory system,,,,,,
skin diseases.png,Skin diseases/skin diseases styles.json,Skin diseases/skin diseases.cyjs,NetworkFile/Skin diseases/skin diseases default edge.csv,13,78,Skin diseases,disease-disease interaction,disgenet,7,none,"Acne, Alopecia Areata, Basal cell carcinoma, Eczema, Epidermolysis Bullosa, Hidradenitis Suppurativa, melanoma, Pemphigus, Psoriasis, Raynaud Phenomenon, Rosacea, Scleroderma, Vitiligo",Gene,13,List2Net,disease-disease associations,Cytoscape,Skin diseases,Homo Sapiens (human),,disease,Associations between various types of diseases of human skin,,,,,,
Union of male and female sterility.png,Union of male and female sterility/sterility styles.json,Union of male and female sterility/male and female sterility.cyjs,NetworkFile/Union of male and female sterility/male and female sterility default edge.csv,69,191,Genes accosiated with male and female sterility,gene-gene interaction,disgenet,7,none,"Male Sterility, Female Sterility",Gene,69,STRING,protein-protein associations,Cytoscape,Sterility,Homo Sapiens (human),,protein,Merged network of the union of associations between male and female sterility,,,,,,
Stomach gene drugs.png,Stomach drugs/Stomach styles.json,Stomach drugs/Stomach gene drugs.cyjs,NetworkFile/Stomach drugs/Stomach gene drugs.csv,104,205,Unfavorable prognostic genes in Stomach cancer,gene-gene interaction,Human Protein Atlas,21.1,none,,Gene,104,STRING db,protein-protein associations,Cytoscape,Stomach Cancer,,,protein,Associations between genes that are associated with an unfavorable prognosis in Stomach cancer,,,,,,
Stomach.png,,Stomach/Stomach.cyjs,NetworkFile/Stomach/Stomach default edge.csv,351,654,Unfavorable prognostic genes in Stomach cancer and Drugs associated with these genes,"gene-gene interaction, gene-drug interaction","Human Protein Atlas, Drugbank","Human Protein Atlas: 21.1, SIGNOR 3.0:21.1, CyTargetLinker: 02/08/2022","SIGNOR 3.0: homo sapiens, connect, add link proteins, CyTargetLinker: direction:BOTH",,"Genes, Drugs",351,"SIGNOR 3.0, CyTargetLinker","gene-gene interactions, drug interactions",Cytoscape,Stomach Cancer,Homo Sapiens (human),,"disease, drugs",Interactions between genes that are associated with an unfavorable prognosis in Stomach cancer and between drugs and these genes,,"Genes: Gray, Drugs: Pink",,,,
locations.png,,subcellular location/locations.cyjs,NetworkFile/subcellular location/locations.csv,23,52,Subcellular locations,location-location,Human Protein Atlas,"Human Protein Atlas: 21.1, SIGNOR 3.0:21.1, CyTargetLinker: 02/08/2022",,,,,List2Net,location-location interactions,Cytoscape,Subcellular locations with common genes,Homo Sapiens (human),,locations,Subcellular locations with common genes,,,,,,
covid 19 symptoms.png,covid19 symptoms/covid19 symptoms styles.json,covid19 symptoms/covid19 symptoms.cyjs,NetworkFile/covid19 symptoms/covid19 symptoms default edge.csv,10,41,Symptoms of COVID-19,disease-disease interaction,disgenet,7,none ,"Anosmia, Chest pain, Chills,Diarrhea, Dyspnea, Fatigue, Fever, Headache, Rhinorrhea, Sore Throat",Genes,10,List2Net,disease-disease associations,Cytoscape,Symptoms of COVID-19,Homo Sapiens (human),,disease ,Associations between symptoms of COVID-19,,,,,,
Jet lag symptoms.png,Jet lag symptoms/jet lag styles.json,Jet lag symptoms/Jet lag.cyjs,NetworkFile/Jet lag symptoms/Jet lag default edge.csv,9,35,Symptoms of jet lag,disease-disease interaction,disgenet,7,none ,"Constipation, Dizziness, Dyspepsia, Fatigue, Forgetful, Headache, Jet Lag Syndrome, Nausea, Sleep Disturbances",Gene,9,List2Net,disease-disease associations,Cytoscape,Symptoms of jet lag,Homo Sapiens (human),,disease,Associations between symptoms of jet lag,,,,,,
symptoms of diseases related to respiratory system.png,,Symptoms of respiratory system/symptoms of diseases of the respiratory system.cyjs,NetworkFile/Symptoms of respiratory system/symptoms of the diseases of the respiratory system.csv,7,12,Symptoms of various diseases of the respiratory system,symptoms-symptoms,disgenet,,none ,,Genes,7,R,symptoms- symptoms associations,Cytoscape,symptoms of the respiratory system diseases,Homo Sapiens (human),,symptoms,Associations between symptoms of respiratory system diseases,,,,,,
testicular gene drugs.png,Testicular Cancer Drugs/testicular styles.json,Testicular Cancer Drugs/testicular gene drugs.cyjs,NetworkFile/Testicular Cancer Drugs/testicular cancer drugs.csv,26,44,Unfavorable prognostic genes in Testicular cancer,gene-gene interaction,Human Protein Atlas,21.1,none,,Gene,26,STRING db,protein-protein associations,Cytoscape,Testicular Cancer,,,protein,Associations between genes that are associated with an unfavorable prognosis in Testicular cancer,,,,,,
Testis.png,,Testicular/Testis.cyjs,NetworkFile/Testicular/Testis default edge.csv,98,130,Unfavorable prognostic genes in Testicular cancer and Drugs associated with these genes,"gene-gene interaction, gene-drug interaction","Human Protein Atlas, Drugbank","Human Protein Atlas: 21.1, SIGNOR 3.0:21.1, CyTargetLinker: 02/08/2022","SIGNOR 3.0: homo sapiens, connect, add link proteins, CyTargetLinker: direction:BOTH",,"Genes, Drugs",98,"SIGNOR 3.0, CyTargetLinker","gene-gene interactions, drug interactions",Cytoscape,Testicular Cancer,Homo Sapiens (human),,"disease, drugs",Interactions between genes that are associated with an unfavorable prognosis in Testicular cancer and between drugs and these genes,,"Genes: Gray, Drugs: Pink",,,,
Thyroid drugs.png,Thyroid drugs/Thyroid styles.json,Thyroid drugs/Thyroid drugs.cyjs,NetworkFile/Thyroid drugs/Thyroid drugs default  edge.csv,104,126,Unfavorable prognostic genes in Thyroid cancer,,Human Protein Atlas,21.1,none,,Gene,104,STRING db,protein-protein associations,Cytoscape,Thyroid cancer,,,protein,Associations between genes that are associated with an unfavorable prognosis in Thyroid cancer,,,,,,
Thyroid.png,,Thyroid/Thyroid.cyjs,NetworkFile/Thyroid/Thyroid default edge.csv,356,751,Unfavorable prognostic genes in Thyroid cancer and Drugs associated with these genes,"gene-gene interaction, gene-drug interaction","Human Protein Atlas, Drugbank","Human Protein Atlas: 21.1, SIGNOR 3.0:21.1, CyTargetLinker: 02/08/2022","SIGNOR 3.0: homo sapiens, connect, add link proteins, CyTargetLinker: direction:BOTH",,"Genes, Drugs",356,"SIGNOR 3.0, CyTargetLinker","gene-gene interactions, drug interactions",Cytoscape,Thyroid cancer,Homo Sapiens (human),,"disease, drugs",Interactions between genes that are associated with an unfavorable prognosis in Thyroid cancer and between drugs and these genes,,"Genes: Gray, Drugs: Pink",,,,
Trisomy 12.png,,Trisomy 12/Trisomy 12.cyjs,NetworkFile/Trisomy 12/Trisomy 12 Edge Table.csv,64,393,Genes accosiated with Trisomy 12,gene-gene interaction,disgenet,7,none,Trisomy 12,Gene,64,STRING db,protein-protein associations,Cytoscape,Trisomy 12,Homo Sapiens (human),,protein,Associations between genes that are related with Trisomy 12 disease,,,,,,
type 1 hypersensitivity.png,,Type I hypersensitivities/type 1 hypersensitivity.cyjs,NetworkFile/Type I hypersensitivities/type 1 hypersensitivity.csv,11,32,Type 1 hypersensitivity (diseases/allergies),disease-disease interaction,disgenet,7,none ,,Genes,11,R,disease-disease associations,Cytoscape,Type 1 hypersensitivity (diseases/allergies),Homo Sapiens (human),,disease,Diseases and allergic reactions of type 1 (immediate) hypersensitivity reactions,,,,,,
Urothelial.png,,Urothelial/Urothelial.cyjs,NetworkFile/Urothelial/Urothelial default edge.csv,320,1006,Unfavorable prognostic genes in Urothelial cancer,gene-gene interaction,Human Protein Atlas,21.1,none,,Gene,320,STRING db,protein-protein associations,Cytoscape,Urothelial cancer,,,protein,Associations between genes that are associated with an unfavorable prognosis in Urothelial cancer,,,,,,
